ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type,mqtt_topic_len,mqtt_payload_len,mqtt_operation
1772422480.864934,192.168.65.3,41058,54.36.178.49,1883,tcp,0,3.4e-05,0,0,SHR,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422481.598532,192.168.65.3,48826,54.36.178.49,1883,tcp,mqtt,0.825526,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422483.158375,192.168.65.3,48842,54.36.178.49,1883,tcp,mqtt,0.819589,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.361184,192.168.65.1,60130,192.168.65.7,2376,tcp,http,0.002018,94,297,SF,0,6,414,4,513,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,HEAD,/_ping,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.366263,192.168.65.1,25289,192.168.65.7,2376,tcp,http,0.019916,115,2949,SF,0,7,487,7,3321,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/json?all=1,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422487.783722,192.168.65.3,48874,54.36.178.49,1883,tcp,mqtt,0.796961,45,4,SF,0,7,417,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.706347,192.168.65.3,48850,54.36.178.49,1883,tcp,mqtt,0.774226,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422486.227339,192.168.65.3,48866,54.36.178.49,1883,tcp,mqtt,0.815289,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.363857,192.168.65.1,24407,192.168.65.7,2376,tcp,http,1.039306,243,215,SF,0,6,563,5,483,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,"/v1.53/events?filters={""type"":{""container"":true}}",-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.386971,192.168.65.1,35044,192.168.65.7,2376,tcp,http,1.008732,188,2083,SF,0,7,560,7,2455,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/1e63257b4c1551619638276b67f22fc9c43d32c4def8b8abcc69171341349410/stats?stream=false,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422489.330427,192.168.65.3,48886,54.36.178.49,1883,tcp,mqtt,0.531365,46,4,S2,0,6,366,4,220,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422481.744099,192.168.65.7,2376,192.168.65.1,61582,tcp,0,0.000596,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422484.387179,192.168.65.1,30693,192.168.65.7,2376,tcp,http,1.009984,188,2179,SF,0,9,664,7,2551,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/d32483094244cea7f108b118b5b75f70529ad1faea8b33e703fba6334b6a7214/stats?stream=false,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422494.371685,192.168.65.1,18737,192.168.65.7,2376,tcp,http,0.002258,94,297,SF,0,6,414,4,513,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,HEAD,/_ping,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422494.376865,192.168.65.1,28220,192.168.65.7,2376,tcp,http,0.019417,115,2949,SF,0,7,487,7,3321,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/json?all=1,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422493.97287,192.168.65.3,37762,54.36.178.49,1883,tcp,mqtt,0.768535,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422494.397168,192.168.65.1,46863,192.168.65.7,2376,tcp,http,1.008213,188,2089,SF,0,7,560,7,2461,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/1e63257b4c1551619638276b67f22fc9c43d32c4def8b8abcc69171341349410/stats?stream=false,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422494.397111,192.168.65.1,63263,192.168.65.7,2376,tcp,http,1.009657,188,2179,SF,0,7,560,7,2551,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/d32483094244cea7f108b118b5b75f70529ad1faea8b33e703fba6334b6a7214/stats?stream=false,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422494.374614,192.168.65.1,37355,192.168.65.7,2376,tcp,http,1.037497,243,215,SF,0,6,563,5,483,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,"/v1.53/events?filters={""type"":{""container"":true}}",-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422495.490261,192.168.65.3,37764,54.36.178.49,1883,tcp,mqtt,0.83877,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422497.060556,192.168.65.3,37770,54.36.178.49,1883,tcp,mqtt,0.783746,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422502.6361,192.168.65.3,43382,54.36.178.49,1883,tcp,mqtt,0.518566,46,4,S2,0,6,366,4,220,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422495.05608,192.168.65.7,2376,192.168.65.1,49485,tcp,0,0.000733,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422498.586958,192.168.65.3,37782,54.36.178.49,1883,tcp,mqtt,0.788233,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422500.106797,192.168.65.3,37788,54.36.178.49,1883,tcp,mqtt,1.781365,46,4,SF,0,8,478,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422495.056055,192.168.65.7,2376,192.168.65.1,47409,tcp,0,0.000729,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422495.056099,192.168.65.7,2376,192.168.65.1,61972,tcp,0,0.000706,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422495.056102,192.168.65.7,2376,192.168.65.1,27019,tcp,0,0.000707,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422496.848019,192.168.65.7,2376,192.168.65.1,61582,tcp,0,0.000613,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422507.209618,192.168.65.3,43402,54.36.178.49,1883,tcp,mqtt,0.799428,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422508.749486,192.168.65.3,43416,54.36.178.49,1883,tcp,mqtt,0.847686,44,4,SF,0,7,416,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422514.414751,192.168.65.1,48401,192.168.65.7,2376,tcp,http,1.00886,188,2090,SF,0,7,560,7,2462,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/1e63257b4c1551619638276b67f22fc9c43d32c4def8b8abcc69171341349410/stats?stream=false,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422514.394458,192.168.65.1,42426,192.168.65.7,2376,tcp,http,0.019332,115,2949,SF,0,7,487,7,3321,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/json?all=1,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422515.007053,192.168.65.3,58674,54.36.178.49,1883,tcp,mqtt,0.797923,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422514.39217,192.168.65.1,28395,192.168.65.7,2376,tcp,http,1.038611,243,215,SF,0,6,563,5,483,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,"/v1.53/events?filters={""type"":{""container"":true}}",-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422514.389276,192.168.65.1,18227,192.168.65.7,2376,tcp,http,0.002259,94,297,SF,0,6,414,4,513,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,HEAD,/_ping,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422513.468439,192.168.65.3,58672,54.36.178.49,1883,tcp,mqtt,0.805362,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422511.950552,192.168.65.7,2376,192.168.65.1,61582,tcp,0,0.000466,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422511.934992,192.168.65.3,58670,54.36.178.49,1883,tcp,mqtt,0.817164,46,4,SF,0,7,418,6,324,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422507.086584,192.168.65.7,2376,192.168.65.1,34937,tcp,0,0.000749,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422514.414691,192.168.65.1,28469,192.168.65.7,2376,tcp,http,1.010167,188,2179,SF,0,7,560,7,2551,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,GET,/v1.53/containers/d32483094244cea7f108b118b5b75f70529ad1faea8b33e703fba6334b6a7214/stats?stream=false,-,0,0,200.0,-,-,-,-,-,F,0,normal,0,0,0
1772422507.598563,192.168.65.7,2376,192.168.65.1,33831,tcp,0,0.000682,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422507.086594,192.168.65.7,2376,192.168.65.1,46881,tcp,0,0.000716,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422507.598587,192.168.65.7,2376,192.168.65.1,23970,tcp,0,0.00068,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422507.598661,192.168.65.7,2376,192.168.65.1,54844,tcp,0,0.000603,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422510.158609,192.168.65.7,2376,192.168.65.1,61972,tcp,0,0.000764,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422510.15861,192.168.65.7,2376,192.168.65.1,47409,tcp,0,0.000758,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422510.158584,192.168.65.7,2376,192.168.65.1,27019,tcp,0,0.000754,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422510.15861,192.168.65.7,2376,192.168.65.1,49485,tcp,0,0.000752,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422507.598588,192.168.65.7,2376,192.168.65.1,63612,tcp,0,0.000683,1,0,OTH,0,1,52,1,52,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
1772422510.338406,192.168.65.3,58658,54.36.178.49,1883,tcp,mqtt,0.854734,46,4,SF,0,7,418,5,272,-,-,-,-,F,F,F,F,-,-,F,F,-,-,0,-,-,-,0,0,0.0,-,-,-,-,-,F,0,normal,0,0,0
